Id,TaskId,SegmentId,HandId,CameraId,ViewType,Definition
136,17,7,2,2,Back,NULL
137,17,8,2,2,Back,NULL
138,17,6,2,2,Back,NULL
139,18,7,1,2,Back,NULL
140,18,8,1,2,Back,NULL
141,18,6,1,2,Back,NULL
142,18,7,2,2,Back,NULL
143,18,8,2,2,Back,NULL
144,18,6,2,2,Back,NULL
145,19,7,1,2,Back,NULL
146,19,8,1,2,Back,NULL
147,19,6,1,2,Back,NULL
148,19,7,2,2,Back,NULL
149,19,8,2,2,Back,NULL
150,19,6,2,2,Back,NULL
