Id,PatientTaskHandMappingId,SegmentId,Start,End,CreatedAt,UpdatedAt
57,168,3,121,171,2022-11-30 23:13:38.3060402,2022-12-01 00:24:21.2749680
58,168,4,170,188,2022-11-30 23:13:38.3138723,2022-12-01 00:24:21.2843676
59,174,1,56,107,2022-12-01 00:45:46.2028561,2022-12-01 00:45:46.2028565
60,174,2,82,107,2022-12-01 00:45:46.2803011,2022-12-01 00:45:46.2803015
61,174,3,106,134,2022-12-01 00:45:46.2902101,2022-12-01 00:45:46.2902105
62,174,4,133,172,2022-12-01 00:45:46.3043227,2022-12-01 00:45:46.3043230
63,203,1,52,88,2022-12-01 00:50:30.8323930,2022-12-01 00:50:30.8323935
64,203,2,74,88,2022-12-01 00:50:30.8634135,2022-12-01 00:50:30.8634142
65,203,3,88,110,2022-12-01 00:50:30.8715346,2022-12-01 00:50:30.8715353
66,203,4,110,134,2022-12-01 00:50:30.8799031,2022-12-01 00:50:30.8799036
67,214,1,66,118,2022-12-01 00:55:48.1995273,2022-12-01 00:55:48.1995276
68,214,2,85,118,2022-12-01 00:55:48.2374777,2022-12-01 00:55:48.2374783
69,214,3,118,146,2022-12-01 00:55:48.2457832,2022-12-01 00:55:48.2457836
70,214,4,146,181,2022-12-01 00:55:48.2540637,2022-12-01 00:55:48.2540644
71,232,1,65,182,2022-12-01 01:08:00.3588959,2022-12-01 01:08:00.3588962
72,232,2,90,182,2022-12-01 01:08:00.4176473,2022-12-01 01:08:00.4176479
73,232,3,182,215,2022-12-01 01:08:00.4259099,2022-12-01 01:08:00.4259106
74,232,4,215,243,2022-12-01 01:08:00.4379205,2022-12-01 01:08:00.4379210
75,234,1,59,408,2022-12-01 01:11:59.9218466,2022-12-01 01:11:59.9218469
76,234,2,88,408,2022-12-01 01:11:59.9407661,2022-12-01 01:11:59.9407666
77,234,3,408,446,2022-12-01 01:11:59.9495078,2022-12-01 01:11:59.9495083
78,234,4,446,484,2022-12-01 01:11:59.9571543,2022-12-01 01:11:59.9571548
79,237,1,55,95,2022-12-01 01:15:27.3187250,2022-12-01 01:15:27.3187257
80,237,2,78,95,2022-12-01 01:15:27.3425414,2022-12-01 01:15:27.3425419
81,237,3,95,130,2022-12-01 01:15:27.3502358,2022-12-01 01:15:27.3502364
82,237,4,130,178,2022-12-01 01:15:27.3582578,2022-12-01 01:15:27.3582583
83,294,1,47,97,2022-12-01 01:19:10.3178029,2022-12-01 01:19:10.3178033
84,294,2,76,97,2022-12-01 01:19:10.3442469,2022-12-01 01:19:10.3442475
85,294,3,97,117,2022-12-01 01:19:10.3523063,2022-12-01 01:19:10.3523069
